defect_id,test_id,req_id,module,severity,release,description,status
DEF-102,TC-115,REQ-058,Pharmacy,High,R1,Defect in Pharmacy during R1 testing,Resolved
DEF-103,TC-233,REQ-117,User Access Management,Critical,R1,Defect in User Access Management during R1 testing,Closed
DEF-104,TC-036,REQ-018,Appointment Management,Low,R2,Defect in Appointment Management during R2 testing,Closed
DEF-105,TC-073,REQ-037,Emergency Department,Critical,R2,Defect in Emergency Department during R2 testing,Closed
DEF-106,TC-034,REQ-017,Appointment Management,Medium,R2,Defect in Appointment Management during R2 testing,Closed
DEF-107,TC-096,REQ-048,Inpatient Management,High,R3,Defect in Inpatient Management during R3 testing,Resolved
DEF-108,TC-078,REQ-039,Emergency Department,Critical,R1,Defect in Emergency Department during R1 testing,Closed
DEF-109,TC-010,REQ-005,Patient Registration,Low,R4,Defect in Patient Registration during R4 testing,Resolved
DEF-110,TC-188,REQ-094,Insurance,Medium,R3,Defect in Insurance during R3 testing,Closed
DEF-111,TC-067,REQ-034,Emergency Department,Critical,R3,Defect in Emergency Department during R3 testing,Closed
DEF-112,TC-218,REQ-109,Medical Records,High,R3,Defect in Medical Records during R3 testing,Open
DEF-113,TC-078,REQ-039,Emergency Department,Critical,R1,Defect in Emergency Department during R1 testing,Closed
DEF-114,TC-120,REQ-060,Pharmacy,Critical,R3,Defect in Pharmacy during R3 testing,Open
DEF-115,TC-083,REQ-042,Inpatient Management,Low,R1,Defect in Inpatient Management during R1 testing,Open
DEF-116,TC-105,REQ-053,Pharmacy,Medium,R1,Defect in Pharmacy during R1 testing,Closed
DEF-117,TC-212,REQ-106,Medical Records,Medium,R2,Defect in Medical Records during R2 testing,Open
DEF-118,TC-009,REQ-005,Patient Registration,Critical,R1,Defect in Patient Registration during R1 testing,Resolved
DEF-119,TC-175,REQ-088,Billing,Medium,R3,Defect in Billing during R3 testing,Open
DEF-120,TC-119,REQ-060,Pharmacy,High,R2,Defect in Pharmacy during R2 testing,Closed
DEF-121,TC-070,REQ-035,Emergency Department,Critical,R1,Defect in Emergency Department during R1 testing,Closed
DEF-122,TC-014,REQ-007,Patient Registration,High,R1,Defect in Patient Registration during R1 testing,Closed
DEF-123,TC-052,REQ-026,Doctor Management,Low,R1,Defect in Doctor Management during R1 testing,Closed
DEF-124,TC-019,REQ-010,Patient Registration,Medium,R2,Defect in Patient Registration during R2 testing,Closed
DEF-125,TC-161,REQ-081,Billing,Medium,R2,Defect in Billing during R2 testing,Closed
DEF-126,TC-179,REQ-090,Billing,Medium,R3,Defect in Billing during R3 testing,Open
DEF-127,TC-137,REQ-069,Laboratory,Low,R2,Defect in Laboratory during R2 testing,Resolved
DEF-128,TC-155,REQ-078,Radiology,Medium,R1,Defect in Radiology during R1 testing,Closed
DEF-129,TC-154,REQ-077,Radiology,Low,R3,Defect in Radiology during R3 testing,Resolved
DEF-130,TC-030,REQ-015,Appointment Management,Medium,R1,Defect in Appointment Management during R1 testing,Open
DEF-131,TC-234,REQ-117,User Access Management,Low,R3,Defect in User Access Management during R3 testing,Open
DEF-132,TC-095,REQ-048,Inpatient Management,Medium,R4,Defect in Inpatient Management during R4 testing,Closed
DEF-133,TC-103,REQ-052,Pharmacy,Medium,R3,Defect in Pharmacy during R3 testing,Closed
DEF-134,TC-083,REQ-042,Inpatient Management,Medium,R2,Defect in Inpatient Management during R2 testing,Closed
DEF-135,TC-019,REQ-010,Patient Registration,High,R4,Defect in Patient Registration during R4 testing,Closed
DEF-136,TC-073,REQ-037,Emergency Department,Critical,R4,Defect in Emergency Department during R4 testing,Resolved
DEF-137,TC-068,REQ-034,Emergency Department,High,R1,Defect in Emergency Department during R1 testing,Closed
DEF-138,TC-066,REQ-033,Emergency Department,High,R1,Defect in Emergency Department during R1 testing,Resolved
DEF-139,TC-078,REQ-039,Emergency Department,High,R2,Defect in Emergency Department during R2 testing,Open
DEF-140,TC-129,REQ-065,Laboratory,High,R3,Defect in Laboratory during R3 testing,Open
DEF-141,TC-061,REQ-031,Emergency Department,Medium,R4,Defect in Emergency Department during R4 testing,Closed
DEF-142,TC-146,REQ-073,Radiology,Low,R2,Defect in Radiology during R2 testing,Resolved
DEF-143,TC-168,REQ-084,Billing,Low,R2,Defect in Billing during R2 testing,Resolved
DEF-144,TC-120,REQ-060,Pharmacy,Medium,R1,Defect in Pharmacy during R1 testing,Closed
DEF-145,TC-147,REQ-074,Radiology,High,R2,Defect in Radiology during R2 testing,Closed
DEF-146,TC-006,REQ-003,Patient Registration,Medium,R3,Defect in Patient Registration during R3 testing,Closed
DEF-147,TC-167,REQ-084,Billing,High,R1,Defect in Billing during R1 testing,Resolved
DEF-148,TC-115,REQ-058,Pharmacy,High,R2,Defect in Pharmacy during R2 testing,Closed
DEF-149,TC-006,REQ-003,Patient Registration,Medium,R3,Defect in Patient Registration during R3 testing,Closed
DEF-150,TC-168,REQ-084,Billing,High,R1,Defect in Billing during R1 testing,Closed
DEF-151,TC-152,REQ-076,Radiology,Medium,R2,Defect in Radiology during R2 testing,Closed
DEF-152,TC-042,REQ-021,Doctor Management,High,R2,Defect in Doctor Management during R2 testing,Closed
DEF-153,TC-039,REQ-020,Appointment Management,Low,R1,Defect in Appointment Management during R1 testing,Open
DEF-154,TC-012,REQ-006,Patient Registration,High,R1,Defect in Patient Registration during R1 testing,Closed
DEF-155,TC-127,REQ-064,Laboratory,High,R2,Defect in Laboratory during R2 testing,Closed
DEF-156,TC-060,REQ-030,Doctor Management,Medium,R1,Defect in Doctor Management during R1 testing,Closed
DEF-157,TC-140,REQ-070,Laboratory,Low,R2,Defect in Laboratory during R2 testing,Closed
DEF-158,TC-170,REQ-085,Billing,Low,R3,Defect in Billing during R3 testing,Closed
DEF-159,TC-050,REQ-025,Doctor Management,Low,R1,Defect in Doctor Management during R1 testing,Closed
DEF-160,TC-067,REQ-034,Emergency Department,Medium,R3,Defect in Emergency Department during R3 testing,Resolved
DEF-161,TC-100,REQ-050,Inpatient Management,Medium,R3,Defect in Inpatient Management during R3 testing,Closed
DEF-162,TC-066,REQ-033,Emergency Department,Low,R3,Defect in Emergency Department during R3 testing,Resolved
DEF-163,TC-124,REQ-062,Laboratory,Low,R3,Defect in Laboratory during R3 testing,Closed
DEF-164,TC-009,REQ-005,Patient Registration,Critical,R1,Defect in Patient Registration during R1 testing,Closed
DEF-165,TC-017,REQ-009,Patient Registration,Medium,R2,Defect in Patient Registration during R2 testing,Open
DEF-166,TC-024,REQ-012,Appointment Management,Medium,R1,Defect in Appointment Management during R1 testing,Closed
DEF-167,TC-128,REQ-064,Laboratory,High,R1,Defect in Laboratory during R1 testing,Resolved
DEF-168,TC-232,REQ-116,User Access Management,Medium,R2,Defect in User Access Management during R2 testing,Resolved
DEF-169,TC-080,REQ-040,Emergency Department,High,R3,Defect in Emergency Department during R3 testing,Closed
DEF-170,TC-098,REQ-049,Inpatient Management,Medium,R1,Defect in Inpatient Management during R1 testing,Closed
DEF-171,TC-198,REQ-099,Insurance,Medium,R3,Defect in Insurance during R3 testing,Resolved
DEF-172,TC-236,REQ-118,User Access Management,Medium,R1,Defect in User Access Management during R1 testing,Open
DEF-173,TC-119,REQ-060,Pharmacy,Medium,R1,Defect in Pharmacy during R1 testing,Closed
DEF-174,TC-079,REQ-040,Emergency Department,High,R1,Defect in Emergency Department during R1 testing,Closed
DEF-175,TC-016,REQ-008,Patient Registration,High,R1,Defect in Patient Registration during R1 testing,Open
DEF-176,TC-117,REQ-059,Pharmacy,High,R3,Defect in Pharmacy during R3 testing,Open
DEF-177,TC-181,REQ-091,Insurance,Medium,R1,Defect in Insurance during R1 testing,Closed
DEF-178,TC-171,REQ-086,Billing,Medium,R2,Defect in Billing during R2 testing,Open
DEF-179,TC-227,REQ-114,User Access Management,High,R2,Defect in User Access Management during R2 testing,Closed
DEF-180,TC-218,REQ-109,Medical Records,Medium,R2,Defect in Medical Records during R2 testing,Resolved
DEF-181,TC-207,REQ-104,Medical Records,Medium,R1,Defect in Medical Records during R1 testing,Open
DEF-182,TC-075,REQ-038,Emergency Department,High,R2,Defect in Emergency Department during R2 testing,Closed
DEF-183,TC-129,REQ-065,Laboratory,Medium,R2,Defect in Laboratory during R2 testing,Open
DEF-184,TC-115,REQ-058,Pharmacy,Critical,R3,Defect in Pharmacy during R3 testing,Closed
DEF-185,TC-033,REQ-017,Appointment Management,Medium,R2,Defect in Appointment Management during R2 testing,Closed
DEF-186,TC-076,REQ-038,Emergency Department,High,R1,Defect in Emergency Department during R1 testing,Closed
DEF-187,TC-069,REQ-035,Emergency Department,Critical,R2,Defect in Emergency Department during R2 testing,Resolved
DEF-188,TC-063,REQ-032,Emergency Department,Critical,R1,Defect in Emergency Department during R1 testing,Open
DEF-189,TC-025,REQ-013,Appointment Management,Low,R1,Defect in Appointment Management during R1 testing,Open
DEF-190,TC-081,REQ-041,Inpatient Management,High,R2,Defect in Inpatient Management during R2 testing,Closed
DEF-191,TC-108,REQ-054,Pharmacy,Medium,R3,Defect in Pharmacy during R3 testing,Closed
DEF-192,TC-165,REQ-083,Billing,Low,R1,Defect in Billing during R1 testing,Resolved
DEF-193,TC-131,REQ-066,Laboratory,Medium,R2,Defect in Laboratory during R2 testing,Closed
DEF-194,TC-036,REQ-018,Appointment Management,Low,R1,Defect in Appointment Management during R1 testing,Resolved
DEF-195,TC-103,REQ-052,Pharmacy,Medium,R2,Defect in Pharmacy during R2 testing,Open
DEF-196,TC-026,REQ-013,Appointment Management,Low,R2,Defect in Appointment Management during R2 testing,Resolved
DEF-197,TC-041,REQ-021,Doctor Management,Low,R1,Defect in Doctor Management during R1 testing,Closed
DEF-198,TC-174,REQ-087,Billing,Medium,R1,Defect in Billing during R1 testing,Closed
DEF-199,TC-066,REQ-033,Emergency Department,Medium,R2,Defect in Emergency Department during R2 testing,Closed
DEF-200,TC-046,REQ-023,Doctor Management,Low,R3,Defect in Doctor Management during R3 testing,Closed
DEF-201,TC-010,REQ-005,Patient Registration,Critical,R1,Defect in Patient Registration during R1 testing,Closed
DEF-202,TC-036,REQ-018,Appointment Management,Low,R4,Defect in Appointment Management during R4 testing,Open
DEF-203,TC-130,REQ-065,Laboratory,Medium,R3,Defect in Laboratory during R3 testing,Resolved
DEF-204,TC-170,REQ-085,Billing,Low,R1,Defect in Billing during R1 testing,Closed
DEF-205,TC-010,REQ-005,Patient Registration,Medium,R1,Defect in Patient Registration during R1 testing,Open
DEF-206,TC-158,REQ-079,Radiology,Medium,R4,Defect in Radiology during R4 testing,Closed
DEF-207,TC-025,REQ-013,Appointment Management,Low,R2,Defect in Appointment Management during R2 testing,Closed
DEF-208,TC-017,REQ-009,Patient Registration,Critical,R2,Defect in Patient Registration during R2 testing,Closed
DEF-209,TC-215,REQ-108,Medical Records,Medium,R3,Defect in Medical Records during R3 testing,Resolved
DEF-210,TC-107,REQ-054,Pharmacy,High,R3,Defect in Pharmacy during R3 testing,Resolved
DEF-211,TC-115,REQ-058,Pharmacy,High,R2,Defect in Pharmacy during R2 testing,Resolved
DEF-212,TC-043,REQ-022,Doctor Management,Low,R2,Defect in Doctor Management during R2 testing,Closed
DEF-213,TC-072,REQ-036,Emergency Department,High,R3,Defect in Emergency Department during R3 testing,Resolved
DEF-214,TC-118,REQ-059,Pharmacy,Critical,R1,Defect in Pharmacy during R1 testing,Closed
DEF-215,TC-136,REQ-068,Laboratory,High,R1,Defect in Laboratory during R1 testing,Resolved
DEF-216,TC-183,REQ-092,Insurance,Medium,R2,Defect in Insurance during R2 testing,Closed
DEF-217,TC-103,REQ-052,Pharmacy,High,R1,Defect in Pharmacy during R1 testing,Closed
DEF-218,TC-163,REQ-082,Billing,Medium,R1,Defect in Billing during R1 testing,Resolved
DEF-219,TC-220,REQ-110,Medical Records,Low,R3,Defect in Medical Records during R3 testing,Resolved
DEF-220,TC-115,REQ-058,Pharmacy,Medium,R3,Defect in Pharmacy during R3 testing,Closed
DEF-221,TC-088,REQ-044,Inpatient Management,Medium,R2,Defect in Inpatient Management during R2 testing,Resolved
DEF-222,TC-129,REQ-065,Laboratory,Medium,R1,Defect in Laboratory during R1 testing,Closed
DEF-223,TC-169,REQ-085,Billing,Low,R3,Defect in Billing during R3 testing,Resolved
DEF-224,TC-092,REQ-046,Inpatient Management,Medium,R3,Defect in Inpatient Management during R3 testing,Open
DEF-225,TC-162,REQ-081,Billing,Medium,R3,Defect in Billing during R3 testing,Resolved
DEF-226,TC-093,REQ-047,Inpatient Management,High,R2,Defect in Inpatient Management during R2 testing,Resolved
DEF-227,TC-082,REQ-041,Inpatient Management,Medium,R2,Defect in Inpatient Management during R2 testing,Closed
DEF-228,TC-097,REQ-049,Inpatient Management,Medium,R1,Defect in Inpatient Management during R1 testing,Closed
DEF-229,TC-123,REQ-062,Laboratory,Medium,R2,Defect in Laboratory during R2 testing,Open
DEF-230,TC-149,REQ-075,Radiology,Low,R1,Defect in Radiology during R1 testing,Closed
DEF-231,TC-208,REQ-104,Medical Records,Low,R4,Defect in Medical Records during R4 testing,Resolved
DEF-232,TC-123,REQ-062,Laboratory,High,R1,Defect in Laboratory during R1 testing,Resolved
DEF-233,TC-136,REQ-068,Laboratory,Medium,R1,Defect in Laboratory during R1 testing,Closed
DEF-234,TC-138,REQ-069,Laboratory,Low,R1,Defect in Laboratory during R1 testing,Resolved
DEF-235,TC-026,REQ-013,Appointment Management,Low,R3,Defect in Appointment Management during R3 testing,Resolved
DEF-236,TC-063,REQ-032,Emergency Department,High,R2,Defect in Emergency Department during R2 testing,Closed
DEF-237,TC-155,REQ-078,Radiology,Critical,R3,Defect in Radiology during R3 testing,Closed
DEF-238,TC-141,REQ-071,Radiology,Low,R3,Defect in Radiology during R3 testing,Closed
DEF-239,TC-056,REQ-028,Doctor Management,Medium,R1,Defect in Doctor Management during R1 testing,Open
DEF-240,TC-129,REQ-065,Laboratory,High,R2,Defect in Laboratory during R2 testing,Resolved
DEF-241,TC-033,REQ-017,Appointment Management,High,R1,Defect in Appointment Management during R1 testing,Resolved
DEF-242,TC-109,REQ-055,Pharmacy,Medium,R3,Defect in Pharmacy during R3 testing,Closed
DEF-243,TC-044,REQ-022,Doctor Management,Low,R2,Defect in Doctor Management during R2 testing,Resolved
DEF-244,TC-022,REQ-011,Appointment Management,Critical,R4,Defect in Appointment Management during R4 testing,Closed
DEF-245,TC-152,REQ-076,Radiology,Medium,R2,Defect in Radiology during R2 testing,Closed
DEF-246,TC-151,REQ-076,Radiology,Low,R1,Defect in Radiology during R1 testing,Resolved
DEF-247,TC-187,REQ-094,Insurance,Low,R3,Defect in Insurance during R3 testing,Resolved
DEF-248,TC-135,REQ-068,Laboratory,Medium,R3,Defect in Laboratory during R3 testing,Closed
DEF-249,TC-144,REQ-072,Radiology,High,R2,Defect in Radiology during R2 testing,Open
DEF-250,TC-047,REQ-024,Doctor Management,Medium,R2,Defect in Doctor Management during R2 testing,Resolved
DEF-251,TC-116,REQ-058,Pharmacy,Critical,R2,Defect in Pharmacy during R2 testing,Closed
DEF-252,TC-031,REQ-016,Appointment Management,Medium,R2,Defect in Appointment Management during R2 testing,Closed
DEF-253,TC-174,REQ-087,Billing,High,R3,Defect in Billing during R3 testing,Closed
DEF-254,TC-238,REQ-119,User Access Management,Critical,R4,Defect in User Access Management during R4 testing,Closed
DEF-255,TC-059,REQ-030,Doctor Management,Medium,R1,Defect in Doctor Management during R1 testing,Resolved
DEF-256,TC-117,REQ-059,Pharmacy,Critical,R4,Defect in Pharmacy during R4 testing,Closed
DEF-257,TC-074,REQ-037,Emergency Department,High,R2,Defect in Emergency Department during R2 testing,Closed
DEF-258,TC-002,REQ-001,Patient Registration,High,R2,Defect in Patient Registration during R2 testing,Open
DEF-259,TC-022,REQ-011,Appointment Management,Low,R3,Defect in Appointment Management during R3 testing,Resolved
DEF-260,TC-176,REQ-088,Billing,Medium,R2,Defect in Billing during R2 testing,Closed
DEF-261,TC-163,REQ-082,Billing,Critical,R3,Defect in Billing during R3 testing,Open
DEF-262,TC-128,REQ-064,Laboratory,Critical,R3,Defect in Laboratory during R3 testing,Resolved
DEF-263,TC-065,REQ-033,Emergency Department,Critical,R2,Defect in Emergency Department during R2 testing,Closed
DEF-264,TC-108,REQ-054,Pharmacy,Critical,R2,Defect in Pharmacy during R2 testing,Open
DEF-265,TC-069,REQ-035,Emergency Department,High,R1,Defect in Emergency Department during R1 testing,Closed
DEF-266,TC-225,REQ-113,User Access Management,Medium,R2,Defect in User Access Management during R2 testing,Closed
DEF-267,TC-194,REQ-097,Insurance,Medium,R2,Defect in Insurance during R2 testing,Resolved
DEF-268,TC-114,REQ-057,Pharmacy,High,R3,Defect in Pharmacy during R3 testing,Closed
DEF-269,TC-021,REQ-011,Appointment Management,Low,R4,Defect in Appointment Management during R4 testing,Closed
DEF-270,TC-130,REQ-065,Laboratory,Medium,R1,Defect in Laboratory during R1 testing,Closed
DEF-271,TC-209,REQ-105,Medical Records,High,R3,Defect in Medical Records during R3 testing,Open
DEF-272,TC-132,REQ-066,Laboratory,Low,R3,Defect in Laboratory during R3 testing,Closed
DEF-273,TC-081,REQ-041,Inpatient Management,Critical,R1,Defect in Inpatient Management during R1 testing,Closed
DEF-274,TC-075,REQ-038,Emergency Department,High,R3,Defect in Emergency Department during R3 testing,Closed
DEF-275,TC-024,REQ-012,Appointment Management,Medium,R2,Defect in Appointment Management during R2 testing,Closed
DEF-276,TC-201,REQ-101,Medical Records,Low,R3,Defect in Medical Records during R3 testing,Resolved
DEF-277,TC-188,REQ-094,Insurance,Low,R1,Defect in Insurance during R1 testing,Resolved
